date,gross,turnover_cost,borrow_cost,net
2023-01-05,0.0007640000000000062,4.975495e-05,4.1366666666666665e-05,0.0006728783833333395
2023-01-06,7.947727526479707e-05,0.0,4.1366666666666665e-05,3.81106085981304e-05
2023-01-10,-0.00032692361873079654,0.0,4.1366666666666665e-05,-0.0003682902853974632
2023-01-11,0.0012406463407430123,0.0,4.1366666666666665e-05,0.0011992796740763457
2023-01-12,-0.0001503074481238114,0.0,4.1366666666666665e-05,-0.0001916741147904781
2023-01-13,-0.003479147771995422,4.988935e-05,8.292441666666667e-05,-0.003611961538662089
2023-01-16,-0.0012442077911315429,0.0,8.292441666666667e-05,-0.0013271322077982096
2023-01-17,0.000715182443301043,0.0,8.292441666666667e-05,0.0006322580266343763
2023-01-18,0.005240771126842629,0.0,8.292441666666667e-05,0.005157846710175963
2023-01-19,-0.0022355604597554847,4.975495e-05,8.292441666666667e-05,-0.0023682398264221515
2023-01-20,0.0020993762522070183,4.9836700000000003e-05,8.2977e-05,0.0019665625522070182
2023-01-23,-0.0001822371278833694,0.0,8.2977e-05,-0.0002652141278833694
2023-01-24,0.000834609125777844,0.0,8.2977e-05,0.000751632125777844
2023-01-25,0.002406281850753258,0.0,8.2977e-05,0.0023233048507532578
2023-01-26,0.0007617515453782484,4.988935e-05,8.2977e-05,0.0006288851953782483
2023-01-27,8.728539898279747e-05,4.99007e-05,8.303475e-05,-4.565005101720253e-05
2023-01-30,0.000994343354007814,0.0,8.303475e-05,0.0009113086040078139
2023-01-31,0.0008453868635648909,0.0,8.303475e-05,0.0007623521135648909
2023-02-01,0.0004149526321132102,0.0,8.303475e-05,0.0003319178821132102
2023-02-02,0.0010388895770690847,4.9836700000000003e-05,8.303475e-05,0.0009060181270690847
2023-02-03,0.0004399232053440272,4.977255e-05,8.300525000000001e-05,0.0003071454053440272
2023-02-06,0.001242064764893036,0.0,8.300525000000001e-05,0.001159059514893036
2023-02-07,0.0024960168805756512,0.0,8.300525000000001e-05,0.0024130116305756512
2023-02-08,0.002637410257090536,0.0,8.300525000000001e-05,0.002554405007090536
2023-02-09,-0.002412505694247667,4.99007e-05,8.300525000000001e-05,-0.002545411644247667
2023-02-10,0.00016111317205002242,4.9970800000000006e-05,8.3041e-05,2.8101372050022403e-05
2023-02-13,0.0015262933675918807,0.0,8.3041e-05,0.0014432523675918807
2023-02-14,-0.001241739617184016,0.0,8.3041e-05,-0.0013247806171840161
2023-02-15,1.028503301404068e-05,0.0,8.3041e-05,-7.275596698595933e-05
2023-02-16,-0.00040182766859902575,4.977255e-05,8.3041e-05,-0.0005346412185990258
2023-02-17,-0.0008291217599788519,4.99378e-05,8.328108333333333e-05,-0.0009623406433121852
2023-02-20,-0.0014082462925114692,0.0,8.328108333333333e-05,-0.0014915273758448026
2023-02-21,-0.0001197496664566679,0.0,8.328108333333333e-05,-0.00020303074979000123
2023-02-22,-0.0022985879241199138,0.0,8.328108333333333e-05,-0.0023818690074532472
2023-02-24,0.0021454148879989665,4.9970800000000006e-05,8.328108333333333e-05,0.002012163004665633
2023-02-27,-0.0012576398131705423,4.99028e-05,8.320041666666667e-05,-0.001390743029837209
2023-02-28,0.0015412679905755862,0.0,8.320041666666667e-05,0.0014580675739089195
2023-03-01,0.00038576736506108625,0.0,8.320041666666667e-05,0.0003025669483944196
2023-03-02,-0.0008576944072020373,0.0,8.320041666666667e-05,-0.0009408948238687039
2023-03-03,-0.00018147565539811908,4.99378e-05,8.320041666666667e-05,-0.00031461387206478577
2023-03-06,-0.0023235974297097575,4.991515e-05,8.30975e-05,-0.0024566100797097576
2023-03-07,0.000560524542564188,0.0,8.30975e-05,0.00047742704256418795
2023-03-08,0.0005893652194621229,0.0,8.30975e-05,0.0005062677194621228
2023-03-09,-0.0005481183891937678,0.0,8.30975e-05,-0.0006312158891937678
2023-03-10,-0.0018879394880660155,4.99028e-05,8.30975e-05,-0.0020209397880660155
2023-03-13,-0.0015187777325577517,4.993450000000001e-05,8.315241666666667e-05,-0.0016518646492244182
2023-03-14,-0.0032297151276687633,0.0,8.315241666666667e-05,-0.00331286754433543
2023-03-15,1.3740254115265655e-05,0.0,8.315241666666667e-05,-6.941216255140102e-05
2023-03-16,0.0012475145415512087,0.0,8.315241666666667e-05,0.0011643621248845421
2023-03-17,0.0032076969415782922,4.991515e-05,8.315241666666667e-05,0.0030746293749116253
2023-03-20,0.0003822259099914258,4.9949699999999994e-05,8.327041666666667e-05,0.00024900579332475913
2023-03-22,0.0009603854711642088,0.0,8.327041666666667e-05,0.0008771150544975421
2023-03-23,0.00046970920632564934,0.0,8.327041666666667e-05,0.00038643878965898264
2023-03-24,0.0008306470279203693,0.0,8.327041666666667e-05,0.0007473766112537026
2023-03-27,0.002574240469597865,4.993450000000001e-05,8.327041666666667e-05,0.0024410355529311985
2023-03-28,0.0004264390762456789,4.982575e-05,8.304208333333334e-05,0.0002935712429123456
2023-03-29,0.0016134926238994378,0.0,8.304208333333334e-05,0.0015304505405661045
2023-03-30,-0.001334299807678828,0.0,8.304208333333334e-05,-0.0014173418910121613
2023-03-31,-0.00013042809917919543,0.0,8.304208333333334e-05,-0.00021347018251252877
2023-04-03,0.00234154809740119,4.9949699999999994e-05,8.304208333333334e-05,0.0022085563140678568
2023-04-04,0.00024544767272000246,4.98753e-05,8.287991666666665e-05,0.00011269245605333581
2023-04-05,-0.00032909556315705203,0.0,8.287991666666665e-05,-0.0004119754798237187
2023-04-06,0.0013051309569319031,0.0,8.287991666666665e-05,0.0012222510402652364
