test_year,train_rows,gross_sharpe,net_sharpe,gross_sum,net_sum
2023,211362,4.606155750475386,3.0469545723670644,0.4342639710812487,0.2872639710812488
2024,389022,4.852549264923409,3.523982679231449,0.5347215713804669,0.388321571380467
2025,576598,6.665359455458533,5.366829400679972,0.7178998724397088,0.5774998724397088
2026,764005,4.837296936592005,3.9630429108393193,0.4308839909667622,0.35288399096676226
MEAN,0,5.240340351862333,3.975202390779451,2.1177694058681866,1.605969405868187
