test_year,train_rows,gross_sharpe,net_sharpe,gross_sum,net_sum
2023,211362,4.668991264107449,2.121018661304996,0.44894629496729044,0.20394629496729047
2024,389022,5.209850785766971,3.0087168963750837,0.5775221570362264,0.33352215703622634
2025,576598,6.656540688426184,4.497534841788027,0.7192998662420265,0.4852998662420265
2026,764005,4.873282957143295,3.4101810554024135,0.432438180971219,0.302438180971219
MEAN,0,5.352166423860975,3.2593628637176297,2.1782064992167625,1.3252064992167623
