pair,entry,exit,sign,ret
NZDUSD,2014-09-10,2014-09-30,1,-0.05220134031281828
USDCAD,2014-09-11,2014-10-01,-1,-0.014998586589449747
GBPUSD,2014-10-03,2014-10-23,1,0.004829357831468882
EURUSD,2014-10-08,2014-10-28,-1,0.0030398300530351417
USDJPY,2014-10-31,2014-11-20,-1,-0.05038400892092756
AUDUSD,2014-11-05,2014-11-25,1,0.003903636128002404
USDJPY,2014-12-06,2014-12-26,-1,0.009070178398827008
GBPUSD,2015-01-05,2015-01-25,1,-0.01736732517113947
USDCAD,2015-01-06,2015-01-26,-1,-0.0508106783856543
USDCHF,2015-01-15,2015-02-04,1,0.07988760532971634
NZDUSD,2015-01-21,2015-02-10,1,-0.021568662795169072
AUDUSD,2015-01-25,2015-02-14,1,-0.011872938618933897
USDCAD,2015-02-01,2015-02-21,-1,0.012780995535221919
GBPUSD,2015-03-06,2015-03-26,1,-0.010616035503981765
NZDUSD,2015-03-09,2015-03-29,1,0.03220934179108132
EURUSD,2015-03-18,2015-04-07,-1,-0.007823073946171377
AUDUSD,2015-03-31,2015-04-20,1,0.02563106194746805
USDJPY,2015-05-20,2015-06-09,-1,-0.02742891945618667
USDCAD,2015-05-22,2015-06-11,-1,0.000540000337214192
USDJPY,2015-06-10,2015-06-30,1,-0.0017297368315125445
USDCAD,2015-07-01,2015-07-21,-1,-0.031637771024794245
NZDUSD,2015-07-16,2015-08-05,1,0.003607162454896156
USDCHF,2015-08-21,2015-09-10,1,0.030731317595056727
USDJPY,2015-08-21,2015-09-10,1,-0.014574147266466931
EURUSD,2015-08-23,2015-09-12,-1,0.003690213951213342
AUDUSD,2015-08-25,2015-09-14,1,0.0006195407636920545
GBPUSD,2015-09-23,2015-10-13,1,0.005836932547607549
GBPUSD,2015-11-06,2015-11-26,1,0.005104166450358719
NZDUSD,2015-11-06,2015-11-26,1,0.009027822101622719
USDCHF,2015-12-03,2015-12-23,1,-0.005312239786516223
EURUSD,2015-12-03,2015-12-23,-1,-0.0025112974852554435
USDJPY,2015-12-11,2015-12-31,1,-0.004229885186048332
GBPUSD,2015-12-17,2016-01-06,1,-0.01721378813157536
AUDUSD,2016-01-06,2016-01-26,1,-0.019262764098853705
NZDUSD,2016-01-06,2016-01-26,1,-0.029820216268231635
