symbol,effective_from,effective_to
7818,2026-05-29,
7820,2026-05-29,
7821,2026-05-29,
7823,2026-05-29,
7826,2026-05-29,
7832,2026-05-29,
7839,2026-05-29,
7840,2026-05-29,
7844,2026-05-29,
7846,2026-05-29,
7856,2026-05-29,
7860,2026-05-29,
7864,2026-05-29,
7867,2026-05-29,
7868,2026-05-29,
7874,2026-05-29,
7888,2026-05-29,
7893,2026-05-29,
7911,2026-05-29,
7912,2026-05-29,
7914,2026-05-29,
7915,2026-05-29,
7917,2026-05-29,
7921,2026-05-29,
7925,2026-05-29,
7931,2026-05-29,
7936,2026-05-29,
7937,2026-05-29,
7942,2026-05-29,
7943,2026-05-29,
7944,2026-05-29,
7947,2026-05-29,
7949,2026-05-29,
7951,2026-05-29,
7952,2026-05-29,
7955,2026-05-29,
7956,2026-05-29,
7962,2026-05-29,
7965,2026-05-29,
7966,2026-05-29,
7970,2026-05-29,
7972,2026-05-29,
7974,2026-05-29,
7976,2026-05-29,
7979,2026-05-29,
7981,2026-05-29,
7984,2026-05-29,
7987,2026-05-29,
7988,2026-05-29,
7989,2026-05-29,
7990,2026-05-29,
7994,2026-05-29,
7995,2026-05-29,
8001,2026-05-29,
8002,2026-05-29,
8005,2026-05-29,
8008,2026-05-29,
8011,2026-05-29,
8012,2026-05-29,
8014,2026-05-29,
8015,2026-05-29,
8016,2026-05-29,
8018,2026-05-29,
8020,2026-05-29,
8022,2026-05-29,
8029,2026-05-29,
8031,2026-05-29,
8032,2026-05-29,
8035,2026-05-29,
8037,2026-05-29,
8043,2026-05-29,
8050,2026-05-29,
8051,2026-05-29,
8052,2026-05-29,
8053,2026-05-29,
8056,2026-05-29,
8057,2026-05-29,
