crash_date,entry,exit,n_filled,deployed_yen,gross,net,market,excess
2018-02-06,2018-02-07,2018-02-22,18,15127220.0,-0.03871701350032842,-0.04071701350032842,0.007529038919137143,-0.048246052419465564
2018-03-23,2018-03-26,2018-04-09,19,15818500.0,-0.0022599066785768205,-0.0042599066785768205,0.030854355043548498,-0.03511426172212532
2018-10-11,2018-10-12,2018-10-26,19,16307700.0,-0.09928389924279618,-0.10128389924279618,-0.0748416330027516,-0.026442266240044587
2018-10-25,2018-10-26,2018-11-09,18,15285300.0,0.09490973811989853,0.09290973811989853,0.059374448963956494,0.03353528915594203
2018-12-25,2018-12-26,2019-01-17,18,16616900.0,0.1307997451083062,0.1287997451083062,0.06957071180046626,0.059229033307839934
2020-02-25,2020-02-26,2020-03-11,18,15957050.0,-0.16350163078418511,-0.16550163078418512,-0.14888473548104508,-0.016616895303140033
2020-02-28,2020-03-02,2020-03-16,17,15350200.0,-0.17846520689670822,-0.18046520689670822,-0.20556593698527048,0.025100730088562256
2020-03-06,2020-03-09,2020-03-24,18,16294200.0,-0.054866212091699534,-0.056866212091699536,-0.046156510406987095,-0.010709701684712442
2020-03-09,2020-03-10,2020-03-25,17,15637300.0,0.027717454835821533,0.02571745483582153,0.004180097677052519,0.021537357158769012
2020-03-12,2020-03-13,2020-03-30,20,18450200.0,0.044227461439566,0.042227461439565996,0.13869858106688038,-0.09647111962731439
2020-03-13,2020-03-16,2020-03-31,19,17740420.0,0.04485793581666567,0.042857935816665665,0.13662025226077934,-0.09376231644411367
2020-04-01,2020-04-02,2020-04-16,15,13893800.0,0.06524391354125826,0.06324391354125826,0.08180923025740183,-0.018565316716143573
2020-06-15,2020-06-16,2020-06-30,20,17756600.0,0.04652250123527399,0.04452250123527399,-0.023223260214056962,0.06774576144933095
2022-01-27,2022-01-28,2022-02-14,18,15761800.0,0.015214392796845227,0.013214392796845227,0.034141657078700094,-0.020927264281854867
2024-08-01,2024-08-02,2024-08-19,17,13655500.0,0.0010242112582334222,-0.0009757887417665779,0.0433575441729932,-0.04433333291475978
2024-08-02,2024-08-05,2024-08-20,18,15967400.0,0.15953542591579176,0.15753542591579175,0.20807420715646296,-0.05053878124067121
2024-08-05,2024-08-06,2024-08-21,18,16099050.0,0.22169253973791492,0.21969253973791492,0.10010776486443063,0.11958477487348429
2024-09-04,2024-09-05,2024-09-20,16,13249300.0,0.0229212109318983,0.020921210931898297,0.008973420831386747,0.01194779010051155
2025-03-31,2025-04-01,2025-04-15,19,16307500.0,-0.15371334365298112,-0.15571334365298112,-0.038739396268342774,-0.11697394738463834
2025-04-04,2025-04-07,2025-04-21,19,16863750.0,0.18241624409316745,0.18041624409316745,0.12815821297876684,0.05225803111440061
2025-04-07,2025-04-08,2025-04-22,16,13776500.0,0.08212342040692018,0.08012342040692018,0.05751781446362103,0.022605605943299148
2026-03-03,2026-03-04,2026-03-18,20,16867050.0,-0.019564555662376963,-0.021564555662376965,0.029235254548779732,-0.0507998102111567
2026-03-04,2026-03-05,2026-03-19,17,14315200.0,-0.09844431094221527,-0.10044431094221527,-0.029541213101645702,-0.07090309784056957
2026-03-09,2026-03-10,2026-03-25,16,14794100.0,-0.04278698701792596,-0.04478698701792596,-0.010687437529865562,-0.0340995494880604
2026-03-19,2026-03-23,2026-04-06,20,17333700.0,0.036275221944203025,0.03427522194420302,0.04715755463338667,-0.012882332689183644
2026-03-23,2026-03-24,2026-04-07,14,12512700.0,-0.03119230861444773,-0.03319230861444773,0.02564792165605989,-0.058840230270507624
