combo,k,wtype,cost,weights,is_sharpe,oos_sharpe,oos_ann_ret,oos_maxdd,full_sharpe
ml_rank_target+idio_gap_reversal,2,ew,3.0,"{""ml_rank_target"": 0.5, ""idio_gap_reversal"": 0.5}",3.975621492677303,8.223542497428198,0.718998542575104,-0.0237092848572813,5.734399743112391
ml_rank_target+idio_gap_reversal,2,ew,7.0,"{""ml_rank_target"": 0.5, ""idio_gap_reversal"": 0.5}",1.3363960575489506,5.917743432045044,0.517398542575104,-0.034699780073633946,3.2748017032947017
ml_rank_target+idio_gap_reversal,2,iv,3.0,"{""ml_rank_target"": 0.372, ""idio_gap_reversal"": 0.628}",3.882319938540345,8.66664202212026,0.6920643075745213,-0.0210440308520351,5.850895024920443
ml_rank_target+idio_gap_reversal,2,iv,7.0,"{""ml_rank_target"": 0.372, ""idio_gap_reversal"": 0.628}",1.0078340243071282,6.142028322877714,0.4904643075745213,-0.028973070610226026,3.172601328891682
ml_rank_target+svdn_concentrated,2,ew,3.0,"{""ml_rank_target"": 0.5, ""svdn_concentrated"": 0.5}",4.120473111285446,7.513425606164533,0.7559917209509673,-0.028156800932219395,5.536234172757658
ml_rank_target+svdn_concentrated,2,ew,7.0,"{""ml_rank_target"": 0.5, ""svdn_concentrated"": 0.5}",1.8158056614605422,5.509823502827462,0.5543917209509673,-0.03837132617842709,3.385155287658432
ml_rank_target+svdn_concentrated,2,iv,3.0,"{""ml_rank_target"": 0.443, ""svdn_concentrated"": 0.557}",4.100078635852858,7.536176935131619,0.748163155185374,-0.02705091843698859,5.5350511492523475
ml_rank_target+svdn_concentrated,2,iv,7.0,"{""ml_rank_target"": 0.443, ""svdn_concentrated"": 0.557}",1.7576767644693938,5.505479139346561,0.5465631551853742,-0.03598259772736512,3.352169677992077
ml_rank_target+gap_short_hedged,2,ew,3.0,"{""ml_rank_target"": 0.5, ""gap_short_hedged"": 0.5}",3.8551944406336305,6.051248774977304,0.6535396426713933,-0.032539261576096434,4.754945884051023
ml_rank_target+gap_short_hedged,2,ew,7.0,"{""ml_rank_target"": 0.5, ""gap_short_hedged"": 0.5}",2.3586805571477605,4.65125900383405,0.5023396426713934,-0.041281197262538205,3.303271475286114
