period,days,gross_sharpe,net_sharpe,gross_sum,net_sum
2021,82,-2.6352286492615833,-7.756550365525066,-0.042193941566535345,-0.12419394156653538
2022,244,-1.4962908765725578,-5.127205145579465,-0.10055180233808197,-0.34455180233808197
2023,245,-3.772083960731177,-8.983463701083151,-0.17733510441070274,-0.42233510441070266
2024,244,-4.217860627296976,-8.958004558947854,-0.21711534668569257,-0.4611153466856926
2025,241,-3.9831273904127626,-8.329662557665959,-0.22085032425864592,-0.4618503242586459
2026,133,-3.797162249577931,-6.177737435820083,-0.21214309134720766,-0.34514309134720766
ALL,1189,-3.1876001087843338,-7.094111256614334,-0.9701896106068664,-2.159189610606866
