period,days,gross_sharpe,net_sharpe,gross_sum,net_sum
2021,82,2.6012631046630816,-2.4836697250927386,0.04194815973461258,-0.04005184026538742
2022,244,1.5166995723421428,-2.116678971041346,0.10185415343672408,-0.14214584656327595
2023,245,3.7567508640099447,-1.4611507991564914,0.1763935047261695,-0.0686064952738305
2024,244,4.245564570630544,-0.481027666921545,0.219167997400672,-0.024832002599327992
2025,241,3.970522456808557,-0.37945313657295343,0.21997730597541276,-0.02102269402458723
2026,133,3.804764700657516,1.4259170563729011,0.21272220034908035,0.07972220034908033
ALL,1189,3.1922374383334255,-0.7124159209173629,0.9720633216226713,-0.21693667837732872
