fold,feature,coefficient
0,reversal_1,-0.0009944500100512524
0,momentum_5,-0.0003276450502981013
0,momentum_15,-0.00047469817440676135
0,volatility_15,-5.553470721286717e-06
0,vwap_deviation,-0.0008343468541303198
0,volume_shock,1.3652646357822268e-05
0,range_position,-5.410742841675819e-05
0,market_return_1,-0.00010548991196359328
0,minute_sin,3.961539195207747e-06
0,minute_cos,-4.366339891551546e-06
1,reversal_1,-0.0032253216252538753
1,momentum_5,-0.0028666184136307256
1,momentum_15,-0.0004077389178822431
1,volatility_15,8.431047860298263e-05
1,vwap_deviation,0.00011155502109001942
1,volume_shock,2.170509960388651e-05
1,range_position,-3.385113129330001e-05
1,market_return_1,-0.00033399775977392796
1,minute_sin,4.096647332719718e-06
1,minute_cos,-5.29878956528875e-06
2,reversal_1,-7.016630981655764e-05
2,momentum_5,8.8549650016764e-05
2,momentum_15,-0.0001393244363630393
2,volatility_15,0.0001038934354036253
2,vwap_deviation,-8.962735683122595e-05
2,volume_shock,2.558294838791325e-05
2,range_position,-5.6684050730407574e-05
2,market_return_1,-0.0003572048793351922
2,minute_sin,-2.878193060309132e-06
2,minute_cos,-7.487584931080387e-06
