fold,feature,coefficient
0,reversal_1,-0.0013764943385729507
0,momentum_5,-0.001069968006051616
0,momentum_15,-0.0002964537306890232
0,volatility_15,7.56799843796537e-05
0,vwap_deviation,6.768054439989326e-05
0,volume_shock,2.6533722171963467e-05
0,range_position,-8.527656071831839e-05
0,market_return_1,-9.200176636523295e-05
0,minute_sin,2.9413728369281512e-06
0,minute_cos,-6.948398934653363e-06
1,reversal_1,-0.0010271409352214757
1,momentum_5,-0.0009844172936559553
1,momentum_15,-6.604555552005252e-05
1,volatility_15,0.00011740850319477389
1,vwap_deviation,0.00031383192288748663
1,volume_shock,2.9000529897191823e-05
1,range_position,-6.221794167281841e-05
1,market_return_1,-0.00031878559643188454
1,minute_sin,3.3671275549279057e-06
1,minute_cos,-8.080917029137527e-06
2,reversal_1,-0.0002558793001853232
2,momentum_5,-5.510229430430573e-05
2,momentum_15,-0.00020183077019514639
2,volatility_15,0.00011743870931680302
2,vwap_deviation,1.8900217184676197e-07
2,volume_shock,2.4050170838384226e-05
2,range_position,-9.402766404437484e-05
2,market_return_1,-0.0003099435691771224
2,minute_sin,2.787683328208467e-06
2,minute_cos,-4.998251011673002e-06
