fold,feature,coefficient
0,reversal_1,0.014970810437326693
0,momentum_5,-0.0033871565448614165
0,momentum_15,-0.006509466678801235
0,volatility_15,0.01447604975942493
0,vwap_deviation,0.004835605304070351
0,volume_shock,1.2559293076738316e-05
0,range_position,2.042800828843575e-05
0,market_return_1,0.00975817856568891
0,minute_sin,-1.5818363669052235e-06
0,minute_cos,1.4493554070381476e-06
1,reversal_1,0.018332734460913415
1,momentum_5,-0.006616179608342744
1,momentum_15,-0.008288950282949327
1,volatility_15,0.0047495892038095225
1,vwap_deviation,0.0067201556946056284
1,volume_shock,1.802803646028786e-05
1,range_position,3.124578630412198e-05
1,market_return_1,0.01439784287244766
1,minute_sin,4.994193903002953e-06
1,minute_cos,-1.303440742857685e-06
2,reversal_1,0.019021011278478668
2,momentum_5,-0.004586377902395166
2,momentum_15,-0.009152163015612098
2,volatility_15,-0.013188332079801376
2,vwap_deviation,0.01512617324229664
2,volume_shock,1.792021157947138e-05
2,range_position,-1.770919728033352e-05
2,market_return_1,0.0198000265746771
2,minute_sin,4.845613308765114e-06
2,minute_cos,-6.500094742084228e-06
