fold,train_start,train_end,validation_start,validation_end,test_start,test_end,alpha,validation_net_sharpe,train_rows,test_rows
0,2026-06-01,2026-06-26,2026-06-23,2026-06-26,2026-06-29,2026-07-03,0.1,17.146164854459926,4392921,1087892
1,2026-06-08,2026-07-03,2026-06-30,2026-07-03,2026-07-06,2026-07-10,0.1,-7.693105133123574,4371295,1088820
2,2026-06-15,2026-07-10,2026-07-07,2026-07-10,2026-07-13,2026-07-17,0.1,36.54897158778775,4352369,1084462
