fold,train_start,train_end,validation_start,validation_end,test_start,test_end,alpha,validation_net_sharpe,train_rows,test_rows
0,2026-06-01,2026-06-26,2026-06-23,2026-06-26,2026-06-29,2026-07-03,0.1,0.05424787470521879,1054019,263616
1,2026-06-08,2026-07-03,2026-06-30,2026-07-03,2026-07-06,2026-07-10,10.0,-3.67567063879668,1053664,265385
2,2026-06-15,2026-07-10,2026-07-07,2026-07-10,2026-07-13,2026-07-17,10.0,-2.6761928428164303,1056145,264701
