timestamp,net_return,turnover,gross_exposure,fold
2026-06-29 09:00:00+09:00,-0.000678799190760042,1.0,1.0,0
2026-06-29 09:05:00+09:00,0.0012109714531705076,1.5161622098148693,1.0,0
2026-06-29 09:10:00+09:00,-0.001377879441128603,1.4033401512812598,1.0,0
2026-06-29 09:15:00+09:00,-0.003968443882674215,1.430015360631806,1.0,0
2026-06-29 09:20:00+09:00,-0.0038654536997048006,1.0767014377246444,0.9999999999999999,0
2026-06-29 09:25:00+09:00,-0.0038794924412664526,1.1631172839506172,0.9999999999999999,0
2026-06-29 09:30:00+09:00,-0.0026950449506892922,1.0520833333333335,1.0000000000000002,0
2026-06-29 09:35:00+09:00,0.00505744933111516,1.1413458712900382,1.0,0
2026-06-29 09:40:00+09:00,2.510016406632706e-05,1.5221863062004115,0.9999999999999999,0
2026-06-29 09:45:00+09:00,-0.0006784716306161683,1.6026817296285412,0.9999999999999999,0
2026-06-29 09:50:00+09:00,-0.0013219333371183107,1.4543981481481483,1.0,0
2026-06-29 09:55:00+09:00,0.00037523408221988564,1.3521921599592042,1.0,0
2026-06-29 10:00:00+09:00,0.00012788182119739808,1.5676673884077281,1.0,0
2026-06-29 10:05:00+09:00,-0.000375609746218747,1.5675105485232068,1.0,0
2026-06-29 10:10:00+09:00,-0.0007739507398134716,1.5809802012333658,1.0,0
2026-06-29 10:15:00+09:00,-0.000892335498997382,1.6197968697968699,1.0,0
2026-06-29 10:20:00+09:00,-0.0013343090846817845,1.6064768564768566,1.0,0
2026-06-29 10:25:00+09:00,0.002606797920885732,1.5370835305045831,1.0,0
2026-06-29 10:30:00+09:00,-0.0032481764310006924,1.8600427825395733,1.0,0
2026-06-29 10:35:00+09:00,-0.00014046604004793424,1.6510840108401084,1.0,0
2026-06-29 10:40:00+09:00,0.0011656725394647931,1.6256020402361866,1.0,0
2026-06-29 10:45:00+09:00,-0.00011805502525107579,1.7524342745861734,1.0,0
2026-06-29 10:50:00+09:00,0.00016784462632062105,1.7841609866926322,1.0,0
2026-06-29 10:55:00+09:00,-0.000954139365443594,1.7413424383744172,1.0,0
2026-06-29 11:00:00+09:00,-0.0004376830203427467,1.6717558757032442,1.0,0
2026-06-29 11:05:00+09:00,-0.0012636450085717543,1.6516816516816517,1.0000000000000002,0
2026-06-29 11:10:00+09:00,0.005169290984133251,1.6617482939001926,1.0,0
2026-06-29 11:15:00+09:00,-0.00011183722385037596,1.6699579745149364,1.0,0
2026-06-29 11:20:00+09:00,-0.0003221981779205535,1.6075895290585498,1.0,0
2026-06-29 11:25:00+09:00,-0.00036712679441118495,1.8322326115117071,1.0,0
2026-06-29 12:30:00+09:00,-0.0002740939293970416,1.748944732443913,1.0,0
2026-06-29 12:35:00+09:00,0.00022675521839119733,1.758374963267705,1.0,0
2026-06-29 12:40:00+09:00,-0.0002566052926782704,1.681365331180089,1.0,0
2026-06-29 12:45:00+09:00,-0.0005757595325812982,1.6643678623242448,1.0,0
2026-06-29 12:50:00+09:00,-0.0003418320091509731,1.6689258443089223,1.0,0
2026-06-29 12:55:00+09:00,0.00017583000085442715,1.7266373699584892,1.0,0
2026-06-29 13:00:00+09:00,-0.00018005703692674434,1.8313083313083314,1.0,0
2026-06-29 13:05:00+09:00,-0.002399352101183442,1.7491831899726638,1.0,0
2026-06-29 13:10:00+09:00,0.0041752929101159485,1.7097069597069599,1.0,0
2026-06-29 13:15:00+09:00,-3.5159077518059144e-05,1.7173458973458973,0.9999999999999999,0
2026-06-29 13:20:00+09:00,-9.94712570932646e-05,1.780437282086525,1.0,0
2026-06-29 13:25:00+09:00,-0.0004243705985879464,1.7417615957702475,1.0,0
2026-06-29 13:30:00+09:00,-0.00013943470339701478,1.7071718056307097,1.0,0
2026-06-29 13:35:00+09:00,-0.00011875081825127591,1.6510810810810812,1.0000000000000002,0
2026-06-29 13:40:00+09:00,-0.0005357172573017862,1.7323448105639887,1.0,0
2026-06-29 13:45:00+09:00,0.0002154771525179468,1.7367766908332218,1.0,0
2026-06-29 13:50:00+09:00,-0.0004841362879749995,1.8280216290958138,1.0,0
2026-06-29 13:55:00+09:00,-0.0003230765847796043,1.7170825562201213,0.9999999999999999,0
2026-06-29 14:00:00+09:00,-0.00019917948203098033,1.6520365735470923,1.0,0
