fold,train_start,train_end,validation_start,validation_end,test_start,test_end,alpha,validation_net_sharpe,train_rows,test_rows
0,2026-06-01,2026-06-26,2026-06-23,2026-06-26,2026-06-29,2026-07-03,0.1,12.22647020973995,4390504,1087319
1,2026-06-08,2026-07-03,2026-06-30,2026-07-03,2026-07-06,2026-07-10,0.1,-9.451181787456845,4369004,1088161
2,2026-06-15,2026-07-10,2026-07-07,2026-07-10,2026-07-13,2026-07-17,0.1,-7.706270099511744,4349984,1083924
