fold,train_start,train_end,validation_start,validation_end,test_start,test_end,alpha,validation_net_sharpe,train_rows,test_rows
0,2026-06-01,2026-06-26,2026-06-23,2026-06-26,2026-06-29,2026-07-03,0.1,-12.070071550830523,1054016,263616
1,2026-06-08,2026-07-03,2026-06-30,2026-07-03,2026-07-06,2026-07-10,0.1,-13.486569082835814,1053663,265384
2,2026-06-15,2026-07-10,2026-07-07,2026-07-10,2026-07-13,2026-07-17,100.0,-12.975962638306864,1056143,264700
