symbol,program_id,entry_date,exit_date,exit_at_open,gross_case_return,realized_daily_pressure
2579,2579:2025-08-01,2026-01-07,2026-02-04,False,0.06259495594044373,0.05677288430410939
4401,4401:2025-08-08,2026-01-08,2026-02-05,False,0.20645962732919254,0.08114071130103045
6448,6448:2025-05-09,2026-01-08,2026-02-05,False,0.03682539682539687,0.05276676305029554
8591,8591:2025-11-12,2026-01-08,2026-02-05,False,0.041034409061765365,0.09277712281870723
8174,8174:2025-10-28,2026-01-08,2026-02-05,False,-0.007832898172323799,0.0703560657018248
6971,6971:2025-05-14,2026-01-09,2026-02-06,False,0.16433724075743905,0.14857350112082962
5831,5831:2025-11-07,2026-01-13,2026-02-09,False,0.09866920152091252,0.11691428137175526
9301,9301:2025-04-30,2026-01-13,2026-02-09,False,0.034361577508785546,0.08785044876601733
4202,4202:2025-11-06,2026-01-13,2026-02-09,False,0.0906896551724139,0.13077155215773062
3659,3659:2025-11-11,2026-01-13,2026-02-09,False,-0.09383378016085786,0.10731867969632788
8031,8031:2025-11-05,2026-01-13,2026-02-09,False,0.07279999999999998,0.10181867510788785
2002,2002:2025-10-30,2026-01-13,2026-02-09,False,0.10665972944849123,0.16994049078105258
7912,7912:2025-05-13,2026-01-13,2026-02-09,False,0.10815188051106706,0.08496936696642708
3382,3382:2025-04-09,2026-01-13,2026-02-09,False,0.028193832599118895,0.22177121819409457
9532,9532:2025-05-08,2026-01-14,2026-02-10,False,0.1528478731074261,0.07670146280544093
3402,3402:2025-11-14,2026-01-14,2026-02-10,False,0.10344827586206895,0.12389849816562722
4042,4042:2025-08-05,2026-01-14,2026-02-10,False,0.06128640776699035,0.0651319469063925
9008,9008:2025-11-10,2026-01-14,2026-02-10,False,-0.015024630541871975,0.14391089352893824
8630,8630:2025-11-19,2026-02-05,2026-03-06,False,0.04999126026918366,0.10607831570139811
8058,8058:2025-04-03,2026-02-13,2026-03-13,False,0.009101471727343213,0.100087349102553
9202,9202:2025-11-10,2026-03-11,2026-04-08,False,-0.00566477840719759,0.11326297111923099
7186,7186:2025-11-13,2026-03-16,2026-04-13,False,0.075412136092599,0.09782421058376882
9533,9533:2025-09-30,2026-03-16,2026-04-13,False,0.05607843137254909,0.1282720081179388
8795,8795:2025-03-31,2026-03-16,2026-04-13,False,0.07980587759503899,0.07766893827106641
7951,7951:2025-11-04,2026-03-16,2026-04-13,False,0.07974626189397371,0.05659853850046844
6465,6465:2026-02-13,2026-04-07,2026-05-08,False,-0.0035680751173708947,0.1478771823774135
8060,8060:2026-01-28,2026-04-16,2026-05-19,False,0.06410610665929806,0.16067954973053986
2432,2432:2026-02-27,2026-05-11,2026-06-05,False,0.0011263375258119268,0.1548589646087291
6869,6869:2026-03-05,2026-05-13,2026-06-09,False,0.10090022505626406,0.08018104593588943
7751,7751:2026-01-29,2026-05-15,2026-06-11,False,0.012073863636363535,0.05443313029477239
9302,9302:2026-02-06,2026-05-18,2026-06-12,False,-0.021201413427561877,0.16455719659766876
2206,2206:2026-02-13,2026-06-03,2026-06-30,False,0.0028142589118198558,0.14769104594097648
2809,2809:2026-01-14,2026-06-10,2026-07-07,False,0.09137178865729512,0.05884309311842366
