strategy,holding_bars,gross_sharpe,sharpe,gross_return_sum,total_return,turnover,max_drawdown
gap_fade,12,3.446774590839049,2.227434192475195,0.03915579474662076,0.025177423663173437,67.9939393939394,-0.022024135508673992
sector_gap_fade,12,3.288720442232493,1.1790117196543544,0.021648974908440477,0.007662821188384017,68.0,-0.016792653754595044
gap_fade_ofi,12,2.7934277705439596,1.3404297739296436,0.027414331018179285,0.012906264510764043,69.99397590361446,-0.022217651140093997
ofi_reversal,12,2.6850521192652628,0.5262162794711582,0.017750793507915804,0.0033371727589333045,69.9939393939394,-0.018450880109286194
ofi_reversal,30,1.500008063773338,-0.3473160375361348,0.011873540217753513,-0.002942289558976019,69.9939393939394,-0.02175624055340597
gap_fade,30,1.1718791901097818,0.13927323268200592,0.016129517867694933,0.0013056381552323248,67.9939393939394,-0.036404434462655066
sector_gap_fade,30,1.0730205412492362,-0.7268835976266355,0.00847068329086879,-0.00592716488622802,68.0,-0.02605688757908864
gap_fade_ofi,30,0.9451692529098145,-0.2995903290674537,0.0111093181562292,-0.0039539290263627125,69.99397590361446,-0.03020919388484422
sector_gap_fade,6,0.328961504706083,-2.2137676095554393,0.001774389425052026,-0.011985459072686444,68.0,-0.025005322274930686
gap_fade,6,0.14334652718806457,-1.3402263128284113,0.00132930106594557,-0.012604149542206566,67.9939393939394,-0.03681422965410919
gap_momentum,6,-0.14394826919184298,-1.6114240367126298,-0.0013381552961140818,-0.01524035731443274,67.9939024390244,-0.0345825349974348
ofi_reversal,6,-1.072220262054707,-3.674643708883534,-0.005854045684218313,-0.01988894178729772,69.9939393939394,-0.03229367951861972
gap_momentum,30,-1.15149696918606,-2.1756675894487305,-0.01588708971606593,-0.030252743751293498,67.9939024390244,-0.056537913929134875
gap_fade_ofi,6,-1.1957151215599218,-2.9739549236327534,-0.00955466804496767,-0.023616764205769414,69.99397590361446,-0.04059797040017543
gap_momentum,12,-3.4408152585489495,-4.640705466839586,-0.03918110770277869,-0.05207316954071117,67.9939024390244,-0.06332495455492038
