date,n,turnover,gross,net
2022-05-10,5,1.0,0.005924347666322695,0.005724347666322695
2022-05-11,5,0.8,-0.011858188938880916,-0.012018188938880917
2022-08-02,7,1.0,0.0023585344936399993,0.0021585344936399993
2022-08-08,5,1.0,-0.0014378052658417743,-0.0016378052658417744
2022-08-09,8,1.125,-0.00260414005556275,-0.00282914005556275
2022-11-09,8,1.0,0.00041687962903472035,0.00021687962903472034
2022-11-10,6,1.0,0.0031614150215300727,0.0029614150215300727
2023-02-08,10,1.0,0.005352583575764933,0.005152583575764934
2023-02-09,6,0.6666666666666666,0.002256625831057196,0.0021232924977238627
2023-05-12,14,1.0,0.0015660435285688367,0.0013660435285688366
2023-05-15,13,0.23076923076923078,-0.00531956019503162,-0.005365714041185466
2023-05-16,13,0.0,-0.002732940806900423,-0.002732940806900423
2023-05-17,13,0.15384615384615385,0.009657431558973348,0.009626662328204118
2023-05-18,12,0.08333333333333333,-0.0034760623949520366,-0.003492729061618703
2023-05-19,13,0.07692307692307693,-0.003006837744450727,-0.0030222223598353423
2023-05-22,13,0.0,-0.001794778819628644,-0.001794778819628644
2023-05-23,13,0.0,0.004161097686475293,0.004161097686475293
2023-05-24,13,0.0,-0.00033837533341850214,-0.00033837533341850214
2023-05-25,13,0.0,0.0012159534225749736,0.0012159534225749736
2023-08-02,6,1.0,-0.0021817910357115507,-0.0023817910357115508
2023-08-04,6,1.0,0.005999676662771683,0.005799676662771683
2023-08-07,7,0.7142857142857143,-0.002684665840436035,-0.002827522983293178
2023-11-02,5,1.0,-0.007252053322235415,-0.007452053322235415
2023-11-06,9,0.6666666666666666,0.006137744996961151,0.006004411663627818
2023-11-07,5,0.8,-0.005472750592442829,-0.00563275059244283
2023-11-09,5,1.0,-0.0036869657626476694,-0.0038869657626476694
2024-02-06,6,1.0,-0.005526130316574305,-0.005726130316574304
2024-02-07,6,0.6666666666666666,-0.006013425167619165,-0.006146758500952499
2024-02-08,5,0.6,0.0052466437242853405,0.00512664372428534
2024-05-02,8,1.0,0.002642465905375351,0.002442465905375351
2024-05-07,10,0.2,0.00034003129365355045,0.00030003129365355045
2024-05-08,6,0.6666666666666666,0.004075714616856985,0.003942381283523652
2024-05-10,8,1.0,0.0015688507879033104,0.0013688507879033103
2024-05-13,11,0.2727272727272727,0.0008002602706748006,0.000745714816129346
2024-07-30,7,1.0,-0.0020546703042492844,-0.0022546703042492845
2024-07-31,5,1.6,-0.00011994266064985562,-0.00043994266064985565
2024-08-01,8,0.625,-0.0010764150672374004,-0.0012014150672374005
2024-08-02,8,1.0,0.0028890556757314723,0.002689055675731472
2024-08-05,9,0.5555555555555556,-0.008716941857389526,-0.008828052968500637
2024-08-06,15,1.0666666666666667,-0.018439491445659373,-0.018652824778992706
2024-08-07,15,1.0666666666666667,0.00199648647914381,0.0017831531458104768
2024-08-08,11,0.7272727272727273,0.006449609659525499,0.006304155114070953
2024-10-29,10,1.0,-0.00212139390371344,-0.00232139390371344
2024-10-30,14,0.5714285714285714,-0.005202290885596428,-0.005316576599882142
2024-10-31,5,1.8,0.003923740595587227,0.0035637405955872272
2024-11-01,6,1.1666666666666667,-0.004685754542957386,-0.00491908787629072
2024-11-05,9,1.0,-0.0044334471903046,-0.0046334471903046
2024-11-06,8,0.375,-0.0008335644418843279,-0.0009085644418843279
2024-11-07,5,1.0,-0.0036715702207756554,-0.0038715702207756555
2024-11-08,9,1.1111111111111112,-0.0039009502364337678,-0.00412317245865599
2024-11-11,10,0.9,-0.006134390962724256,-0.006314390962724256
2024-11-12,7,1.5714285714285714,-0.0012186644678703253,-0.0015329501821560395
2024-11-13,7,1.7142857142857142,-0.003952909121670305,-0.004295766264527448
2025-02-04,7,1.0,0.0007194208179135825,0.0005194208179135825
2025-02-05,7,0.5714285714285714,0.0028226612371727864,0.002708375522887072
2025-02-06,12,0.5833333333333334,-0.0016083233473448318,-0.0017249900140114984
2025-02-07,10,0.6,0.0005724209917611009,0.0004524209917611009
2025-02-10,8,1.0,0.0025677062724724135,0.0023677062724724134
2025-02-12,9,1.2222222222222223,0.011615287422394885,0.01137084297795044
2025-02-13,9,1.7777777777777777,0.0029329344563311143,0.0025773789007755587
2025-05-01,6,1.0,0.005566697809721422,0.005366697809721422
2025-05-02,5,0.2,-0.0027899226984893374,-0.0028299226984893375
2025-05-07,5,0.4,-0.006264367606288208,-0.006344367606288208
2025-05-12,5,1.0,-0.0060432988167346356,-0.006243298816734635
2025-05-13,7,0.8571428571428571,-0.002261040759057251,-0.0024324693304858223
2025-07-29,6,1.0,0.004785214079833456,0.0045852140798334565
2025-07-30,6,1.0,0.0026474805182338792,0.002447480518233879
2025-08-04,6,1.0,0.00478348341469388,0.00458348341469388
2025-08-05,6,0.3333333333333333,0.003107889526358454,0.0030412228596917875
2025-08-06,6,0.3333333333333333,0.001510504152445271,0.0014438374857786043
2025-10-29,5,1.0,0.01519240608101982,0.014992406081019819
2025-10-30,6,0.8333333333333334,0.006299475122359439,0.006132808455692773
2025-11-04,6,1.0,-0.0010243036319498118,-0.0012243036319498119
2025-11-05,5,0.6,-0.007019966638248632,-0.007139966638248632
2025-11-06,6,0.5,0.01134468224004323,0.01124468224004323
2025-11-07,7,0.7142857142857143,-0.008938985343439636,-0.009081842486296779
2025-11-10,6,0.5,0.002814816974090268,0.002714816974090268
2025-11-11,8,1.0,-0.0017201445305435633,-0.0019201445305435634
2025-11-12,9,0.5555555555555556,0.004522702774097166,0.004411591662986054
2025-11-13,8,0.625,0.002883681183061034,0.002758681183061034
