date,n,turnover,gross,net
2022-04-18,7,1.0,-0.0008775510408323625,-0.0010775510408323626
2022-04-19,28,0.75,0.001655324076049805,0.001505324076049805
2022-04-20,61,0.5737704918032787,0.0019482821438758444,0.0018335280455151887
2022-04-21,59,0.1016949152542373,0.0009134037413977879,0.0008930647583469404
2022-04-22,89,0.3595505617977528,0.002050556902140281,0.0019786467897807305
2022-04-25,105,0.2857142857142857,-0.0001647604616404428,-0.00022190331878329993
2022-04-26,97,0.5154639175257731,-0.0027246740957339293,-0.002827766879239084
2022-04-27,97,0.7628865979381443,0.0022877800199373787,0.0021352027003497497
2022-04-28,123,0.5040650406504065,0.004019043825062164,0.003918230816932083
2022-05-02,169,0.4260355029585799,5.179181246810319e-05,-3.341528812361278e-05
2022-05-06,185,0.43243243243243246,0.0037892118213518977,0.003702725334865411
2022-05-09,168,0.22023809523809523,0.0017396314113002562,0.001695583792252637
2022-05-10,132,0.45454545454545453,-0.0018309162471260017,-0.0019218253380350926
2022-05-11,92,0.4782608695652174,-0.005522292298841349,-0.005617944472754393
2022-05-12,47,1.127659574468085,0.00301472572693162,0.002789193812038003
2022-05-13,6,6.833333333333333,-0.002230856141974845,-0.0035975228086415115
2022-06-06,6,1.0,-0.0005618524602670023,-0.0007618524602670023
2022-06-07,6,0.3333333333333333,-0.010258554815105314,-0.01032522148177198
2022-06-08,5,0.2,0.005631188773390033,0.005591188773390033
2022-06-24,5,1.0,0.002396974630616968,0.002196974630616968
2022-06-30,6,1.0,0.002043508222712726,0.001843508222712726
2022-07-01,6,0.6666666666666666,0.0016836285217622649,0.0015502951884289315
2022-07-04,7,0.42857142857142855,0.008839914390471024,0.008754200104756738
2022-07-05,8,0.375,-0.00032121160891739053,-0.0003962116089173905
2022-07-06,8,0.5,0.026035156158039245,0.025935156158039246
2022-07-07,10,0.6,-0.010934090340583989,-0.011054090340583989
2022-07-08,9,0.1111111111111111,0.006294097804766106,0.006271875582543884
2022-07-11,9,0.4444444444444444,-0.0175704907588351,-0.01765937964772399
2022-07-12,9,0.4444444444444444,0.006764868836134879,0.006675979947245989
2022-07-13,6,0.5,-0.001451937505692777,-0.0015519375056927771
2022-07-15,5,1.0,-0.001031171785820402,-0.0012311717858204021
2022-07-19,8,0.625,0.00675720728049594,0.00663220728049594
2022-07-20,20,0.8,0.009893334271617125,0.009733334271617124
2022-07-21,51,0.6470588235294118,7.627657957589955e-06,-0.00012178410674829241
2022-07-22,101,0.5346534653465347,-0.001045883010227235,-0.0011528137032965418
2022-07-25,106,0.12264150943396226,0.00015325750835191217,0.00012872920646511972
2022-07-26,123,0.3008130081300813,-0.0007256375462715865,-0.0007858001478976027
2022-07-27,124,0.3467741935483871,0.0016440666412500982,0.0015747118025404207
2022-07-28,131,0.5572519083969466,-0.0017823552434851277,-0.001893805625164517
2022-07-29,115,0.6956521739130435,-0.0009782414260944361,-0.0011173718608770448
2022-08-01,106,0.1792452830188679,-0.0005366723752490248,-0.0005725214318527983
2022-08-02,110,0.5454545454545454,-0.001761777133215247,-0.0018708680423061561
2022-08-03,100,0.48,-0.002753504607598453,-0.002849504607598453
2022-08-04,78,0.9487179487179487,-0.0017822122363152413,-0.001971955826058831
2022-08-05,55,0.45454545454545453,-0.002756482749706305,-0.0028473918406153958
2022-08-08,47,0.2978723404255319,-0.0013883631559882962,-0.0014479376240734026
2022-08-09,29,0.6896551724137931,0.003955740694266103,0.0038178096597833444
2022-08-10,14,1.0714285714285714,-0.016365963322561013,-0.01658024903684673
2022-09-05,5,1.0,0.001166261072329625,0.000966261072329625
