date,gross,net,topix_ret,hedge_notional,contracts,long_exposure
2025-05-16,0.004425265972134888,0.004161449272134888,-0.001843009131272666,0.549102,4.0,0.7699815
2025-05-19,0.015995614701044374,0.015728420401044375,0.0013529869930410943,0.546938,4.0,0.7890335
2025-05-20,-0.007989304586490931,-0.008240180386490931,-0.005696092241116446,0.550904,4.0,0.703475
2025-05-21,-0.0009898090363890774,-0.0011995147363890774,-0.005386362312932991,0.412152,3.0,0.6363764999999999
2025-05-22,0.0036385461587009997,0.0034305657587009996,0.0012455273407991907,0.4070565,3.0,0.6328455
2025-05-23,-0.001128169651918847,-0.0013694172519188473,0.0029257132800986074,0.545508,4.0,0.66073
2025-05-26,0.0008658291075390834,0.0006096763075390834,0.004027918142779363,0.548174,4.0,0.73259
2025-05-27,-0.0036769784396064324,-0.003942291939606432,0.006889556232594352,0.550108,4.0,0.7764595
2025-05-28,4.910822770296582e-05,-0.00022166367229703416,-0.008463562644326239,0.55863,4.0,0.7952294999999999
2025-05-29,-0.0030513352013662614,-0.0033057823013662615,0.00857570181951206,0.557622,4.0,0.7146135
2025-05-30,-0.007128982757849682,-0.007372467057849682,0.007614012372320511,0.55608,4.0,0.6613415
2025-06-02,0.008295943082407813,0.008047253882407812,-0.002388700905910368,0.556788,4.0,0.686658
2025-06-03,-0.00030493145413365,-0.00052803285413365,-0.003778373753424158,0.417243,3.0,0.698264
2025-06-04,-0.0010164356778529027,-0.0012667725778529027,0.0007401897904113497,0.556614,4.0,0.6950704999999999
2025-06-05,0.0013323453943323556,0.0010828360943323555,-0.004665287301535703,0.553878,4.0,0.6936684999999999
2025-06-06,-0.002507540333297247,-0.002766558333297247,0.0022256964801423695,0.552636,4.0,0.742454
2025-06-09,0.0022156497576969886,0.0019228391576969885,-0.000807128559436987,0.696915,5.0,0.7671379999999999
2025-06-10,0.004479213277285032,0.0041824541772850325,-0.0025274764615330625,0.698325,5.0,0.7854705
2025-06-11,0.004140766219099696,0.003851847019099696,-0.002121911509491481,0.6986625,5.0,0.7459335
2025-06-12,0.006273913318042407,0.005951063318042407,-0.002601936041114916,0.837069,6.0,0.7771809999999999
2025-06-13,-6.900340843685269e-05,-0.0003377032084368527,-0.006494887348665879,0.6936225,5.0,0.6498765
2025-06-16,0.0025675635524505863,0.0022796864524505865,0.0011896907885486918,0.6934575,5.0,0.745928
2025-06-17,-0.0028462191206433196,-0.0031365201206433194,0.0033409296280695333,0.6944175,5.0,0.7570874999999999
2025-06-18,-0.0001904443645927888,-0.0004390301645927888,0.01118356383380914,0.555458,4.0,0.687471
2025-06-19,0.0025577646509424273,0.0023144780509424274,-0.005478261489032854,0.561492,4.0,0.6549409999999999
2025-06-20,0.001364640607090678,0.0011066905070906778,-0.00533715225061282,0.557226,4.0,0.7325245
2025-06-23,-0.0032903113159660825,-0.0035688870159660824,-0.0012045534289983895,0.6911275,5.0,0.701751
2025-06-24,0.0017003438866418164,0.0014123132866418163,-0.002478248083033985,0.697065,5.0,0.7430879999999999
2025-06-25,-0.0008149685517032143,-0.0010973204517032143,-0.002666972555992131,0.69742,5.0,0.7143395
2025-06-26,-0.002427486877716359,-0.0027186994777163593,0.007218297846361521,0.6961475,5.0,0.7599155000000001
2025-06-27,0.0012941211492757294,0.0009995586492757295,0.007326552902960248,0.70497,5.0,0.7678424999999999
2025-06-30,0.0010790009612358423,0.0008351013612358423,-0.0027928957680113387,0.572166,4.0,0.647332
2025-07-01,0.00025324543507637687,-4.115776492362314e-05,-0.005900564432338329,0.71222,5.0,0.7597960000000001
2025-07-02,0.003208506870420073,0.002925379970420073,0.002504451964895127,0.704745,5.0,0.7108895
2025-07-03,-0.00023877182690509706,-0.0004927165269050971,0.0012493540874758402,0.565092,4.0,0.7046315
2025-07-04,-0.0032558644003766414,-0.0035180973003766415,-0.004800129504960338,0.568318,4.0,0.7428465
2025-07-07,0.002112978336154249,0.001833210836154249,-0.005461310997608937,0.70679,5.0,0.6920474999999999
2025-07-08,0.0019458077558621675,0.0016607536558621676,0.003623898488082533,0.7015925,5.0,0.723678
2025-07-09,-0.0005507667311430633,-0.0008368721311430633,-0.0011795867914533575,0.707875,5.0,0.7226520000000001
2025-07-10,-0.0011506776056326496,-0.0013951807056326497,-0.004530748918637584,0.565028,4.0,0.6574875
2025-07-11,0.0004404438121326879,0.00018909141213268796,-0.001375953705701649,0.565426,4.0,0.691336
2025-07-14,0.0016182400331242828,0.0013615907331242828,0.002934749782380841,0.56291,4.0,0.7203364999999999
2025-07-15,0.0012596604428266214,0.0010172346428266215,-0.003140204854262807,0.566842,4.0,0.6452869999999999
2025-07-16,-0.0008008621371426712,-0.0010534188371426711,-0.0025719309293267267,0.565334,4.0,0.6974495
2025-07-17,0.007040622688602623,0.0068178171886026226,0.008365734576120776,0.4224375,3.0,0.6915900000000001
2025-07-18,-0.003265660031427763,-0.0034854630314277626,-0.005585181027224273,0.42756,3.0,0.6714549999999999
2025-07-22,0.0021805674221141297,0.0019625456221141297,-0.001014416692790232,0.4258605,3.0,0.6642484999999999
2025-07-23,0.0048533146446661235,0.004648778844666124,0.02008533303587612,0.286876,2.0,0.735803
2025-07-24,-0.00043400585458801657,-0.0006107651545880165,0.007641363533301693,0.295497,2.0,0.5882995
2025-07-25,-0.0025051229040745603,-0.00269210840407456,-0.004918336732457895,0.296645,2.0,0.6382825
2025-07-28,0.0015982992723603288,0.0013797355723603288,-0.008078927773641054,0.44319,3.0,0.6496284999999999
2025-07-29,0.00101761564447076,0.0008143677444707601,-0.0015001664944508386,0.4369515,3.0,0.5792879999999999
2025-07-30,0.0036134997468763616,0.0033954677468763616,0.003012286143140308,0.4367115,3.0,0.6534485
2025-07-31,-0.00023302147566662754,-0.0004533187756666275,0.005400955159432286,0.439089,3.0,0.6623975
2025-08-01,0.0031977385629435046,0.0029634468629435046,0.0014264124029954584,0.4416675,3.0,0.7297910000000001
2025-08-04,0.011508740797742199,0.011302674797742199,0.0041768965624104926,0.4356105,3.0,0.5947195000000001
2025-08-05,-0.0022737200183128065,-0.0024728479183128067,0.0026324505007118137,0.292883,2.0,0.7027564999999999
2025-08-06,0.0008033595237366175,0.0006218885237366176,0.009428826143470515,0.293886,2.0,0.613469
2025-08-07,0.006082116817144694,0.005883085317144694,0.008332124067318425,0.296323,2.0,0.6988345
2025-08-08,-0.002783912876111403,-0.003016467176111403,0.007703867594773817,0.4501635,3.0,0.712608
2025-08-12,-8.502215506692948e-05,-0.0002900331550669295,0.009222110685075835,0.303835,2.0,0.7212200000000001
