date,entry_date,side,z,entry_premium,exit_premium,gross,net
2022-11-08,2022-10-31,LONG,-0.6015770681684239,1480.0,1280.0,-0.13513513513513514,-0.13513513513513514
2022-11-21,2022-11-14,LONG,-0.9031380300983634,1010.0,705.0,-0.30198019801980197,-0.30198019801980197
2022-12-19,2022-12-12,SHORT,0.6425878908707647,1140.0,1030.0,0.09649122807017543,0.09649122807017543
2023-01-04,2022-12-26,SHORT,0.9018279671749414,1400.0,1300.0,0.07142857142857142,0.07142857142857142
2023-01-17,2023-01-10,SHORT,0.5214145521683091,1050.0,935.0,0.10952380952380952,0.10952380952380952
2023-02-06,2023-01-30,LONG,-0.5461557278714845,1100.0,1035.0,-0.05909090909090909,-0.05909090909090909
2023-03-06,2023-02-27,SHORT,1.3448212070883452,1210.0,1250.0,-0.03305785123966942,-0.03305785123966942
2023-03-28,2023-03-20,SHORT,1.1071339388723231,1170.0,780.0,0.3333333333333333,0.3333333333333333
2023-04-10,2023-04-03,LONG,-0.9011234302716364,1120.0,1100.0,-0.017857142857142856,-0.017857142857142856
2023-05-01,2023-04-24,SHORT,0.5657067978664192,1185.0,1220.0,-0.029535864978902954,-0.029535864978902954
2023-05-22,2023-05-15,SHORT,1.2692529843074665,860.0,1716.0,-0.9953488372093023,-0.9953488372093023
2023-06-05,2023-05-29,SHORT,1.8862720421613275,1550.0,1770.0,-0.14193548387096774,-0.14193548387096774
2023-07-10,2023-07-03,LONG,-0.8127073888080153,1600.0,1925.0,0.203125,0.203125
2023-09-04,2023-08-28,LONG,-0.7317969791067426,1495.0,1480.0,-0.010033444816053512,-0.010033444816053512
2023-10-10,2023-10-02,SHORT,0.8624642043933289,1450.0,1425.0,0.017241379310344827,0.017241379310344827
2023-10-23,2023-10-16,LONG,-0.6292359155107977,1345.0,1325.0,-0.01486988847583643,-0.01486988847583643
2023-11-13,2023-11-06,LONG,-1.9245476999276592,1450.0,1225.0,-0.15517241379310345,-0.15517241379310345
2023-12-04,2023-11-27,LONG,-1.9625871374947803,1415.0,1340.0,-0.053003533568904596,-0.053003533568904596
2024-01-04,2023-12-25,LONG,-1.2215427033465376,1505.0,1410.0,-0.06312292358803986,-0.06312292358803986
2024-01-22,2024-01-15,SHORT,1.4398483449291977,1550.0,1455.0,0.06129032258064516,0.06129032258064516
2024-02-20,2024-02-13,SHORT,1.3065155708988703,1460.0,1370.0,0.06164383561643835,0.06164383561643835
2024-03-18,2024-03-11,SHORT,0.6379009652184495,1825.0,1670.0,0.08493150684931507,0.08493150684931507
2024-04-01,2024-03-25,LONG,-0.5470786195142311,1990.0,1900.0,-0.04522613065326633,-0.04522613065326633
2024-05-09,2024-04-30,LONG,-1.2272884080708406,2045.0,1670.0,-0.18337408312958436,-0.18337408312958436
2024-05-27,2024-05-20,LONG,-1.8012595810552021,1270.0,1035.0,-0.18503937007874016,-0.18503937007874016
2024-06-17,2024-06-10,SHORT,1.1215271558812214,1525.0,1490.0,0.022950819672131147,0.022950819672131147
2024-07-01,2024-06-24,SHORT,1.0938573202465127,1765.0,1805.0,-0.0226628895184136,-0.0226628895184136
2024-07-16,2024-07-08,SHORT,1.4986809084692472,1525.0,1480.0,0.029508196721311476,0.029508196721311476
2024-08-05,2024-07-29,LONG,-0.6045094361199084,2125.0,8175.0,2.847058823529412,2.847058823529412
2024-09-02,2024-08-26,LONG,-4.378188437161681,2435.0,2130.0,-0.12525667351129363,-0.12525667351129363
2024-11-12,2024-11-05,SHORT,0.9657438322388077,2740.0,2020.0,0.26277372262773724,0.26277372262773724
2024-11-25,2024-11-18,SHORT,0.5470322250489155,1790.0,1510.0,0.1564245810055866,0.1564245810055866
2024-12-16,2024-12-09,SHORT,0.6226300563110156,1725.0,1465.0,0.15072463768115943,0.15072463768115943
2025-01-10,2024-12-30,SHORT,0.5832844269875729,2075.0,1860.0,0.10361445783132531,0.10361445783132531
2025-01-21,2025-01-14,SHORT,0.5462375095184352,1805.0,1560.0,0.13573407202216067,0.13573407202216067
2025-03-17,2025-03-10,SHORT,0.6015913793644501,2010.0,1650.0,0.1791044776119403,0.1791044776119403
2025-04-07,2025-03-31,SHORT,0.697509406421077,2220.0,5425.0,-1.4436936936936937,-1.4436936936936937
